TurkuNLP (Turku),software1-P,92.45
AntNLP (Shanghai),software1-P,91.71
BASELINE UDPipe 1.2 (Praha),software1-P,91.71
BOUN (İstanbul),software2-P,91.71
Fudan (Shanghai),software5-P,91.71
HUJI (Yerushalayim),software1-P,91.71
ICS PAS (Warszawa),software1-P,91.71
KParse (İstanbul),software1-P,91.71
LATTICE (Paris),software1-P,91.71
LeisureX (Shanghai),software1-P,91.71
NLP-Cube (București),software1-P,91.71
ONLP lab (Ra'anana),software3-P,91.71
ParisNLP (Paris),software1-P,91.71
SLT-Interactions (Bengaluru),software2-P,91.71
UniMelb (Melbourne),software1-P,91.71
iParse (Pittsburgh),software1-P,91.71
Phoenix (Shanghai),software1-P,91.34
IBM NY (Yorktown Heights),software1-P,91.16
Uppsala (Uppsala),software1-P,90.97
UDPipe Future (Praha),software1-P,90.62
CEA LIST (Paris),software1-P,90.54
HIT-SCIR (Harbin),software1-P,90.37
CUNI x-ling (Praha),software1-P,88.92
Stanford (Stanford),software2,75.83
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
