HIT-SCIR (Harbin),software1-P,99.96
Uppsala (Uppsala),software1-P,99.96
Stanford (Stanford),software2,99.93
UDPipe Future (Praha),software1-P,99.93
AntNLP (Shanghai),software1-P,99.91
ArmParser (Yerevan),software1-P,99.91
BASELINE UDPipe 1.2 (Praha),software1-P,99.91
BOUN (İstanbul),software2-P,99.91
CEA LIST (Paris),software1-P,99.91
CUNI x-ling (Praha),software1-P,99.91
Fudan (Shanghai),software5-P,99.91
HUJI (Yerushalayim),software1-P,99.91
IBM NY (Yorktown Heights),software1-P,99.91
ICS PAS (Warszawa),software1-P,99.91
KParse (İstanbul),software1-P,99.91
LATTICE (Paris),software1-P,99.91
LeisureX (Shanghai),software1-P,99.91
ONLP lab (Ra'anana),software3-P,99.91
ParisNLP (Paris),software1-P,99.91
Phoenix (Shanghai),software1-P,99.91
SLT-Interactions (Bengaluru),software2-P,99.91
TurkuNLP (Turku),software1-P,99.91
UniMelb (Melbourne),software1-P,99.91
NLP-Cube (București),software1-P,99.9
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
