Uppsala (Uppsala),software1-P,100.0
Stanford (Stanford),software2,99.99
NLP-Cube (București),software1-P,99.97
UDPipe Future (Praha),software1-P,99.97
AntNLP (Shanghai),software1-P,99.96
ArmParser (Yerevan),software1-P,99.96
BASELINE UDPipe 1.2 (Praha),software1-P,99.96
BOUN (İstanbul),software2-P,99.96
CEA LIST (Paris),software1-P,99.96
CUNI x-ling (Praha),software1-P,99.96
Fudan (Shanghai),software5-P,99.96
HIT-SCIR (Harbin),software1-P,99.96
HUJI (Yerushalayim),software1-P,99.96
ICS PAS (Warszawa),software1-P,99.96
KParse (İstanbul),software1-P,99.96
LATTICE (Paris),software1-P,99.96
LeisureX (Shanghai),software1-P,99.96
ONLP lab (Ra'anana),software3-P,99.96
ParisNLP (Paris),software1-P,99.96
Phoenix (Shanghai),software1-P,99.96
SLT-Interactions (Bengaluru),software2-P,99.96
TurkuNLP (Turku),software1-P,99.96
UniMelb (Melbourne),software1-P,99.96
iParse (Pittsburgh),software1-P,99.96
IBM NY (Yorktown Heights),software1-P,99.88
SParse (İstanbul),software1-P,0.0
