IBM NY (Yorktown Heights),software1-P,99.47
Stanford (Stanford),software2,99.47
Uppsala (Uppsala),software1-P,99.44
UDPipe Future (Praha),software1-P,99.14
AntNLP (Shanghai),software1-P,99.09
BASELINE UDPipe 1.2 (Praha),software1-P,99.09
BOUN (İstanbul),software2-P,99.09
CEA LIST (Paris),software1-P,99.09
CUNI x-ling (Praha),software1-P,99.09
Fudan (Shanghai),software5-P,99.09
HIT-SCIR (Harbin),software1-P,99.09
HUJI (Yerushalayim),software1-P,99.09
ICS PAS (Warszawa),software1-P,99.09
KParse (İstanbul),software1-P,99.09
LATTICE (Paris),software1-P,99.09
LeisureX (Shanghai),software1-P,99.09
ONLP lab (Ra'anana),software3-P,99.09
ParisNLP (Paris),software1-P,99.09
Phoenix (Shanghai),software1-P,99.09
SLT-Interactions (Bengaluru),software2-P,99.09
TurkuNLP (Turku),software1-P,99.09
UniMelb (Melbourne),software1-P,99.09
iParse (Pittsburgh),software1-P,99.09
ArmParser (Yerevan),software1-P,99.08
NLP-Cube (București),software1-P,97.77
SParse (İstanbul),software1-P,0.0
