Stanford (Stanford),software2,93.98
Uppsala (Uppsala),software1-P,90.98
AntNLP (Shanghai),software1-P,85.16
ArmParser (Yerevan),software1-P,85.16
BASELINE UDPipe 1.2 (Praha),software1-P,85.16
BOUN (İstanbul),software2-P,85.16
CEA LIST (Paris),software1-P,85.16
CUNI x-ling (Praha),software1-P,85.16
Fudan (Shanghai),software5-P,85.16
HIT-SCIR (Harbin),software1-P,85.16
HUJI (Yerushalayim),software1-P,85.16
IBM NY (Yorktown Heights),software1-P,85.16
ICS PAS (Warszawa),software1-P,85.16
KParse (İstanbul),software1-P,85.16
LATTICE (Paris),software1-P,85.16
LeisureX (Shanghai),software1-P,85.16
NLP-Cube (București),software1-P,85.16
ONLP lab (Ra'anana),software3-P,85.16
ParisNLP (Paris),software1-P,85.16
Phoenix (Shanghai),software1-P,85.16
SLT-Interactions (Bengaluru),software2-P,85.16
TurkuNLP (Turku),software1-P,85.16
UniMelb (Melbourne),software1-P,85.16
iParse (Pittsburgh),software1-P,85.16
UDPipe Future (Praha),software1-P,85.15
SParse (İstanbul),software1-P,0.0
