AntNLP (Shanghai),software1-P,97.92
ArmParser (Yerevan),software1-P,97.92
BASELINE UDPipe 1.2 (Praha),software1-P,97.92
BOUN (İstanbul),software2-P,97.92
CEA LIST (Paris),software1-P,97.92
CUNI x-ling (Praha),software1-P,97.92
Fudan (Shanghai),software5-P,97.92
HIT-SCIR (Harbin),software1-P,97.92
HUJI (Yerushalayim),software1-P,97.92
IBM NY (Yorktown Heights),software1-P,97.92
ICS PAS (Warszawa),software1-P,97.92
KParse (İstanbul),software1-P,97.92
LATTICE (Paris),software1-P,97.92
LeisureX (Shanghai),software1-P,97.92
NLP-Cube (București),software1-P,97.92
ONLP lab (Ra'anana),software3-P,97.92
ParisNLP (Paris),software1-P,97.92
Phoenix (Shanghai),software1-P,97.92
SLT-Interactions (Bengaluru),software2-P,97.92
TurkuNLP (Turku),software1-P,97.92
UDPipe Future (Praha),software1-P,97.92
UniMelb (Melbourne),software1-P,97.92
iParse (Pittsburgh),software1-P,97.92
Stanford (Stanford),software2,97.87
Uppsala (Uppsala),software1-P,97.8
SParse (İstanbul),software1-P,0.0
