UDPipe Future (Praha),software1-P,96.36
HIT-SCIR (Harbin),software1-P,95.81
TurkuNLP (Turku),software1-P,95.42
NLP-Cube (București),software1-P,94.37
Stanford (Stanford),software2,94.17
AntNLP (Shanghai),software1-P,90.89
BASELINE UDPipe 1.2 (Praha),software1-P,90.89
BOUN (İstanbul),software2-P,90.89
CEA LIST (Paris),software1-P,90.89
CUNI x-ling (Praha),software1-P,90.89
Fudan (Shanghai),software5-P,90.89
HUJI (Yerushalayim),software1-P,90.89
ICS PAS (Warszawa),software1-P,90.89
KParse (İstanbul),software1-P,90.89
LATTICE (Paris),software1-P,90.89
LeisureX (Shanghai),software1-P,90.89
ParisNLP (Paris),software1-P,90.89
Phoenix (Shanghai),software1-P,90.89
SLT-Interactions (Bengaluru),software2-P,90.89
UniMelb (Melbourne),software1-P,90.89
iParse (Pittsburgh),software1-P,90.89
ArmParser (Yerevan),software1-P,88.07
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
