HIT-SCIR (Harbin),software1-P,93.81
UDPipe Future (Praha),software1-P,93.64
NLP-Cube (București),software1-P,92.93
TurkuNLP (Turku),software1-P,92.22
Stanford (Stanford),software2,91.82
AntNLP (Shanghai),software1-P,89.96
BASELINE UDPipe 1.2 (Praha),software1-P,89.96
BOUN (İstanbul),software2-P,89.96
CEA LIST (Paris),software1-P,89.96
CUNI x-ling (Praha),software1-P,89.96
HUJI (Yerushalayim),software1-P,89.96
IBM NY (Yorktown Heights),software1-P,89.96
ICS PAS (Warszawa),software1-P,89.96
KParse (İstanbul),software1-P,89.96
LATTICE (Paris),software1-P,89.96
ParisNLP (Paris),software1-P,89.96
Phoenix (Shanghai),software1-P,89.96
SLT-Interactions (Bengaluru),software2-P,89.96
UniMelb (Melbourne),software1-P,89.96
iParse (Pittsburgh),software1-P,89.96
LeisureX (Shanghai),software1-P,85.19
Fudan (Shanghai),software5-P,67.07
ArmParser (Yerevan),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
