HIT-SCIR (Harbin),software1-P,98.8
UDPipe Future (Praha),software1-P,98.8
Stanford (Stanford),software2,98.7
NLP-Cube (București),software1-P,98.34
AntNLP (Shanghai),software1-P,98.14
BASELINE UDPipe 1.2 (Praha),software1-P,98.14
BOUN (İstanbul),software2-P,98.14
CEA LIST (Paris),software1-P,98.14
CUNI x-ling (Praha),software1-P,98.14
Fudan (Shanghai),software5-P,98.14
HUJI (Yerushalayim),software1-P,98.14
ICS PAS (Warszawa),software1-P,98.14
KParse (İstanbul),software1-P,98.14
LATTICE (Paris),software1-P,98.14
LeisureX (Shanghai),software1-P,98.14
ONLP lab (Ra'anana),software3-P,98.14
ParisNLP (Paris),software1-P,98.14
Phoenix (Shanghai),software1-P,98.14
SLT-Interactions (Bengaluru),software2-P,98.14
UniMelb (Melbourne),software1-P,98.14
iParse (Pittsburgh),software1-P,98.14
TurkuNLP (Turku),software1-P,97.76
ArmParser (Yerevan),software1-P,97.4
IBM NY (Yorktown Heights),software1-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
