UDPipe Future (Praha),software1-P,95.27
TurkuNLP (Turku),software1-P,95.2
HIT-SCIR (Harbin),software1-P,95.13
Stanford (Stanford),software2,94.89
NLP-Cube (București),software1-P,91.97
AntNLP (Shanghai),software1-P,91.04
BASELINE UDPipe 1.2 (Praha),software1-P,91.04
BOUN (İstanbul),software2-P,91.04
CEA LIST (Paris),software1-P,91.04
CUNI x-ling (Praha),software1-P,91.04
Fudan (Shanghai),software5-P,91.04
HUJI (Yerushalayim),software1-P,91.04
ICS PAS (Warszawa),software1-P,91.04
KParse (İstanbul),software1-P,91.04
LATTICE (Paris),software1-P,91.04
LeisureX (Shanghai),software1-P,91.04
ParisNLP (Paris),software1-P,91.04
Phoenix (Shanghai),software1-P,91.04
SLT-Interactions (Bengaluru),software2-P,91.04
UniMelb (Melbourne),software1-P,91.04
iParse (Pittsburgh),software1-P,91.04
ArmParser (Yerevan),software1-P,0.0
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
