HIT-SCIR (Harbin),software1-P,97.86
TurkuNLP (Turku),software1-P,97.63
Stanford (Stanford),software2,97.6
UDPipe Future (Praha),software1-P,97.52
NLP-Cube (București),software1-P,96.52
AntNLP (Shanghai),software1-P,95.55
BASELINE UDPipe 1.2 (Praha),software1-P,95.55
CEA LIST (Paris),software1-P,95.55
CUNI x-ling (Praha),software1-P,95.55
Fudan (Shanghai),software5-P,95.55
HUJI (Yerushalayim),software1-P,95.55
ICS PAS (Warszawa),software1-P,95.55
KParse (İstanbul),software1-P,95.55
LATTICE (Paris),software1-P,95.55
LeisureX (Shanghai),software1-P,95.55
ParisNLP (Paris),software1-P,95.55
Phoenix (Shanghai),software1-P,95.55
SLT-Interactions (Bengaluru),software2-P,95.55
UniMelb (Melbourne),software1-P,95.55
BOUN (İstanbul),software2-P,95.48
ArmParser (Yerevan),software1-P,0.0
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
