TurkuNLP (Turku),software1-P,97.51
NLP-Cube (București),software1-P,97.45
HIT-SCIR (Harbin),software1-P,97.37
UDPipe Future (Praha),software1-P,97.37
Stanford (Stanford),software2,97.3
AntNLP (Shanghai),software1-P,97.29
BASELINE UDPipe 1.2 (Praha),software1-P,97.29
BOUN (İstanbul),software2-P,97.29
CEA LIST (Paris),software1-P,97.29
CUNI x-ling (Praha),software1-P,97.29
Fudan (Shanghai),software5-P,97.29
HUJI (Yerushalayim),software1-P,97.29
ICS PAS (Warszawa),software1-P,97.29
KParse (İstanbul),software1-P,97.29
LATTICE (Paris),software1-P,97.29
LeisureX (Shanghai),software1-P,97.29
ParisNLP (Paris),software1-P,97.29
Phoenix (Shanghai),software1-P,97.29
SLT-Interactions (Bengaluru),software2-P,97.29
UniMelb (Melbourne),software1-P,97.29
iParse (Pittsburgh),software1-P,97.29
ArmParser (Yerevan),software1-P,97.26
IBM NY (Yorktown Heights),software1-P,96.68
Uppsala (Uppsala),software1-P,96.68
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
