TurkuNLP (Turku),software1-P,91.05
UDPipe Future (Praha),software1-P,90.41
NLP-Cube (București),software1-P,90.4
HIT-SCIR (Harbin),software1-P,89.5
AntNLP (Shanghai),software1-P,87.93
BASELINE UDPipe 1.2 (Praha),software1-P,87.93
BOUN (İstanbul),software2-P,87.93
CEA LIST (Paris),software1-P,87.93
CUNI x-ling (Praha),software1-P,87.93
Fudan (Shanghai),software5-P,87.93
HUJI (Yerushalayim),software1-P,87.93
ICS PAS (Warszawa),software1-P,87.93
KParse (İstanbul),software1-P,87.93
LATTICE (Paris),software1-P,87.93
LeisureX (Shanghai),software1-P,87.93
ParisNLP (Paris),software1-P,87.93
Phoenix (Shanghai),software1-P,87.93
SLT-Interactions (Bengaluru),software2-P,87.93
UniMelb (Melbourne),software1-P,87.93
ArmParser (Yerevan),software1-P,86.51
Stanford (Stanford),software2,79.64
ONLP lab (Ra'anana),software3-P,0.02
IBM NY (Yorktown Heights),software1-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
