UDPipe Future (Praha),software1-P,91.64
TurkuNLP (Turku),software1-P,90.97
HIT-SCIR (Harbin),software1-P,89.5
AntNLP (Shanghai),software1-P,87.25
BASELINE UDPipe 1.2 (Praha),software1-P,87.25
BOUN (İstanbul),software2-P,87.25
CEA LIST (Paris),software1-P,87.25
CUNI x-ling (Praha),software1-P,87.25
Fudan (Shanghai),software5-P,87.25
HUJI (Yerushalayim),software1-P,87.25
ICS PAS (Warszawa),software1-P,87.25
KParse (İstanbul),software1-P,87.25
LATTICE (Paris),software1-P,87.25
LeisureX (Shanghai),software1-P,87.25
ParisNLP (Paris),software1-P,87.25
Phoenix (Shanghai),software1-P,87.25
SLT-Interactions (Bengaluru),software2-P,87.25
UniMelb (Melbourne),software1-P,87.25
iParse (Pittsburgh),software1-P,87.25
NLP-Cube (București),software1-P,86.75
ArmParser (Yerevan),software1-P,85.93
Stanford (Stanford),software2,84.4
IBM NY (Yorktown Heights),software1-P,0.02
Uppsala (Uppsala),software1-P,0.02
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
