HIT-SCIR (Harbin),software1-P,87.38
UDPipe Future (Praha),software1-P,84.27
TurkuNLP (Turku),software1-P,83.87
Stanford (Stanford),software2,83.54
NLP-Cube (București),software1-P,76.11
AntNLP (Shanghai),software1-P,72.33
BASELINE UDPipe 1.2 (Praha),software1-P,72.33
BOUN (İstanbul),software2-P,72.33
CEA LIST (Paris),software1-P,72.33
CUNI x-ling (Praha),software1-P,72.33
Fudan (Shanghai),software5-P,72.33
HUJI (Yerushalayim),software1-P,72.33
ICS PAS (Warszawa),software1-P,72.33
KParse (İstanbul),software1-P,72.33
LATTICE (Paris),software1-P,72.33
LeisureX (Shanghai),software1-P,72.33
ParisNLP (Paris),software1-P,72.33
Phoenix (Shanghai),software1-P,72.33
SLT-Interactions (Bengaluru),software2-P,72.33
UniMelb (Melbourne),software1-P,72.33
iParse (Pittsburgh),software1-P,72.33
ArmParser (Yerevan),software1-P,71.17
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
