Uppsala (Uppsala),software1-P,98.53
Phoenix (Shanghai),software1-P,92.49
AntNLP (Shanghai),software1-P,87.97
BASELINE UDPipe 1.2 (Praha),software1-P,87.97
BOUN (İstanbul),software2-P,87.97
Fudan (Shanghai),software5-P,87.97
HUJI (Yerushalayim),software1-P,87.97
ICS PAS (Warszawa),software1-P,87.97
KParse (İstanbul),software1-P,87.97
LATTICE (Paris),software1-P,87.97
LeisureX (Shanghai),software1-P,87.97
NLP-Cube (București),software1-P,87.97
ParisNLP (Paris),software1-P,87.97
SLT-Interactions (Bengaluru),software2-P,87.97
UniMelb (Melbourne),software1-P,87.97
IBM NY (Yorktown Heights),software1-P,82.44
CEA LIST (Paris),software1-P,19.64
UDPipe Future (Praha),software1-P,18.73
ArmParser (Yerevan),software1-P,0.0
CUNI x-ling (Praha),software1-P,0.0
HIT-SCIR (Harbin),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Stanford (Stanford),software2,0.0
TurkuNLP (Turku),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
