Stanford (Stanford),software2,99.63
AntNLP (Shanghai),software1-P,99.59
ArmParser (Yerevan),software1-P,99.59
BASELINE UDPipe 1.2 (Praha),software1-P,99.59
BOUN (İstanbul),software2-P,99.59
CEA LIST (Paris),software1-P,99.59
CUNI x-ling (Praha),software1-P,99.59
Fudan (Shanghai),software5-P,99.59
HUJI (Yerushalayim),software1-P,99.59
ICS PAS (Warszawa),software1-P,99.59
KParse (İstanbul),software1-P,99.59
LATTICE (Paris),software1-P,99.59
LeisureX (Shanghai),software1-P,99.59
ParisNLP (Paris),software1-P,99.59
Phoenix (Shanghai),software1-P,99.59
SLT-Interactions (Bengaluru),software2-P,99.59
TurkuNLP (Turku),software1-P,99.59
UniMelb (Melbourne),software1-P,99.59
iParse (Pittsburgh),software1-P,99.59
UDPipe Future (Praha),software1-P,99.51
IBM NY (Yorktown Heights),software1-P,99.3
HIT-SCIR (Harbin),software1-P,99.05
Uppsala (Uppsala),software1-P,99.0
NLP-Cube (București),software1-P,97.59
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
