Stanford (Stanford),software2,97.1
TurkuNLP (Turku),software1-P,97.09
HIT-SCIR (Harbin),software1-P,97.02
UDPipe Future (Praha),software1-P,96.92
NLP-Cube (București),software1-P,96.73
AntNLP (Shanghai),software1-P,95.87
BASELINE UDPipe 1.2 (Praha),software1-P,95.87
BOUN (İstanbul),software2-P,95.87
CEA LIST (Paris),software1-P,95.87
CUNI x-ling (Praha),software1-P,95.87
Fudan (Shanghai),software5-P,95.87
HUJI (Yerushalayim),software1-P,95.87
ICS PAS (Warszawa),software1-P,95.87
KParse (İstanbul),software1-P,95.87
LATTICE (Paris),software1-P,95.87
LeisureX (Shanghai),software1-P,95.87
ParisNLP (Paris),software1-P,95.87
Phoenix (Shanghai),software1-P,95.87
SLT-Interactions (Bengaluru),software2-P,95.87
UniMelb (Melbourne),software1-P,95.87
ArmParser (Yerevan),software1-P,94.87
ONLP lab (Ra'anana),software3-P,0.01
IBM NY (Yorktown Heights),software1-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
