HIT-SCIR (Harbin),software1-P,94.93
Stanford (Stanford),software2,94.91
UDPipe Future (Praha),software1-P,93.26
NLP-Cube (București),software1-P,92.52
TurkuNLP (Turku),software1-P,92.36
AntNLP (Shanghai),software1-P,86.37
BASELINE UDPipe 1.2 (Praha),software1-P,86.37
BOUN (İstanbul),software2-P,86.37
CEA LIST (Paris),software1-P,86.37
CUNI x-ling (Praha),software1-P,86.37
Fudan (Shanghai),software5-P,86.37
HUJI (Yerushalayim),software1-P,86.37
ICS PAS (Warszawa),software1-P,86.37
KParse (İstanbul),software1-P,86.37
LATTICE (Paris),software1-P,86.37
LeisureX (Shanghai),software1-P,86.37
ParisNLP (Paris),software1-P,86.37
Phoenix (Shanghai),software1-P,86.37
SLT-Interactions (Bengaluru),software2-P,86.37
UniMelb (Melbourne),software1-P,86.37
ArmParser (Yerevan),software1-P,84.28
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
