HIT-SCIR (Harbin),software1-P,93.97
TurkuNLP (Turku),software1-P,92.94
UDPipe Future (Praha),software1-P,91.95
AntNLP (Shanghai),software1-P,89.39
BASELINE UDPipe 1.2 (Praha),software1-P,89.39
BOUN (İstanbul),software2-P,89.39
CEA LIST (Paris),software1-P,89.39
CUNI x-ling (Praha),software1-P,89.39
Fudan (Shanghai),software5-P,89.39
HUJI (Yerushalayim),software1-P,89.39
ICS PAS (Warszawa),software1-P,89.39
KParse (İstanbul),software1-P,89.39
LATTICE (Paris),software1-P,89.39
LeisureX (Shanghai),software1-P,89.39
ParisNLP (Paris),software1-P,89.39
Phoenix (Shanghai),software1-P,89.39
SLT-Interactions (Bengaluru),software2-P,89.39
UniMelb (Melbourne),software1-P,89.39
iParse (Pittsburgh),software1-P,89.39
NLP-Cube (București),software1-P,88.68
Stanford (Stanford),software2,84.37
ONLP lab (Ra'anana),software3-P,0.46
ArmParser (Yerevan),software1-P,0.0
IBM NY (Yorktown Heights),software1-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
