HIT-SCIR (Harbin),software1-P,96.52
Stanford (Stanford),software2,96.49
UDPipe Future (Praha),software1-P,96.43
TurkuNLP (Turku),software1-P,96.41
NLP-Cube (București),software1-P,95.41
AntNLP (Shanghai),software1-P,93.76
BASELINE UDPipe 1.2 (Praha),software1-P,93.76
CEA LIST (Paris),software1-P,93.76
CUNI x-ling (Praha),software1-P,93.76
Fudan (Shanghai),software5-P,93.76
HUJI (Yerushalayim),software1-P,93.76
ICS PAS (Warszawa),software1-P,93.76
KParse (İstanbul),software1-P,93.76
LATTICE (Paris),software1-P,93.76
LeisureX (Shanghai),software1-P,93.76
ParisNLP (Paris),software1-P,93.76
Phoenix (Shanghai),software1-P,93.76
SLT-Interactions (Bengaluru),software2-P,93.76
UniMelb (Melbourne),software1-P,93.76
iParse (Pittsburgh),software1-P,93.76
BOUN (İstanbul),software2-P,93.56
ArmParser (Yerevan),software1-P,0.0
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
