UDPipe Future (Praha),software1-P,91.52
HIT-SCIR (Harbin),software1-P,91.47
Stanford (Stanford),software2,91.26
TurkuNLP (Turku),software1-P,90.75
NLP-Cube (București),software1-P,88.46
AntNLP (Shanghai),software1-P,83.07
BASELINE UDPipe 1.2 (Praha),software1-P,83.07
CEA LIST (Paris),software1-P,83.07
CUNI x-ling (Praha),software1-P,83.07
Fudan (Shanghai),software5-P,83.07
HUJI (Yerushalayim),software1-P,83.07
ICS PAS (Warszawa),software1-P,83.07
KParse (İstanbul),software1-P,83.07
LATTICE (Paris),software1-P,83.07
LeisureX (Shanghai),software1-P,83.07
ParisNLP (Paris),software1-P,83.07
Phoenix (Shanghai),software1-P,83.07
SLT-Interactions (Bengaluru),software2-P,83.07
UniMelb (Melbourne),software1-P,83.07
BOUN (İstanbul),software2-P,83.05
ArmParser (Yerevan),software1-P,81.21
ONLP lab (Ra'anana),software3-P,0.67
IBM NY (Yorktown Heights),software1-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
