TurkuNLP (Turku),software1-P,92.74
HIT-SCIR (Harbin),software1-P,92.51
Stanford (Stanford),software2,92.33
NLP-Cube (București),software1-P,91.82
UDPipe Future (Praha),software1-P,91.69
AntNLP (Shanghai),software1-P,89.93
BASELINE UDPipe 1.2 (Praha),software1-P,89.93
BOUN (İstanbul),software2-P,89.93
CEA LIST (Paris),software1-P,89.93
CUNI x-ling (Praha),software1-P,89.93
Fudan (Shanghai),software5-P,89.93
HUJI (Yerushalayim),software1-P,89.93
ICS PAS (Warszawa),software1-P,89.93
KParse (İstanbul),software1-P,89.93
LATTICE (Paris),software1-P,89.93
LeisureX (Shanghai),software1-P,89.93
ParisNLP (Paris),software1-P,89.93
Phoenix (Shanghai),software1-P,89.93
SLT-Interactions (Bengaluru),software2-P,89.93
UniMelb (Melbourne),software1-P,89.93
iParse (Pittsburgh),software1-P,89.93
ArmParser (Yerevan),software1-P,89.31
IBM NY (Yorktown Heights),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
