HIT-SCIR (Harbin),software1-P,91.71
NLP-Cube (București),software1-P,88.41
Stanford (Stanford),software2,88.34
UDPipe Future (Praha),software1-P,85.64
TurkuNLP (Turku),software1-P,85.6
AntNLP (Shanghai),software1-P,83.38
BASELINE UDPipe 1.2 (Praha),software1-P,83.38
BOUN (İstanbul),software2-P,83.38
CEA LIST (Paris),software1-P,83.38
CUNI x-ling (Praha),software1-P,83.38
Fudan (Shanghai),software5-P,83.38
HUJI (Yerushalayim),software1-P,83.38
IBM NY (Yorktown Heights),software1-P,83.38
ICS PAS (Warszawa),software1-P,83.38
KParse (İstanbul),software1-P,83.38
LATTICE (Paris),software1-P,83.38
LeisureX (Shanghai),software1-P,83.38
ParisNLP (Paris),software1-P,83.38
Phoenix (Shanghai),software1-P,83.38
UniMelb (Melbourne),software1-P,83.38
iParse (Pittsburgh),software1-P,83.38
ArmParser (Yerevan),software1-P,83.17
ONLP lab (Ra'anana),software3-P,0.0
SLT-Interactions (Bengaluru),software2-P,0.0
SParse (İstanbul),software1-P,0.0
Uppsala (Uppsala),software1-P,0.0
